Employee_ID,Lname,Fname,SSN,Email,Address,Is_Manager,Dep_Name,Password
79469,Ben,Cass,700000025,CassBen@marz.com,"766 London St, Gainesville, FL 32621",No,MARKETING,Pwd26
82559,Jones,Jan,700000026,JanJones@marz.com,"106 Pal St, Gainesville, FL 32650",No,MARKETING,Pwd27
43204,Jack,Bea,700000027,BeaJack@marz.com,"3966 ChickS St, Gainesville, FL 32630",No,MARKETING,Pwd28
16946,Alonzo,Mimi,700000028,MimiAlonzo@marz.com,"396 Marie St, Gainesville, FL 32655",No,MARKETING,Pwd29
80491,Arch,Hattie,700000029,HattieArch@marz.com,"966 George St, Gainesville, FL 32700",No,MARKETING,Pwd30
89998,App,David,700000030,DavidApp@marz.com,"1450 Cedar St, Imboden, AR 72434",No,OPERATIONS,Pwd31
68172,Tymo,Eva,700000031,EvaTymo@marz.com,"1451 Cedar St, Imboden, AR 72435",No,OPERATIONS,Pwd32
19396,Oluwa,Marc,700000032,MarcOlu@marz.com,"1452 Cedar St, Imboden, AR 72436",No,OPERATIONS,Pwd33
94324,Lyon,Tresor,700000033,TresorLyon@marz.com,"1453 Cedar St, Imboden, AR 72437",No,OPERATIONS,Pwd34
98510,Lee,Mike,700000034,MikeLee@marz.com,"1454 Cedar St, Imboden, AR 72438",No,OPERATIONS,Pwd35
76834,Ben,Liam,700000035,LiamBen@marz.com,"1455 Cedar St, Imboden, AR 72439",No,OPERATIONS,Pwd36
1079,Vinh,Noah,700000036,NoahVin@marz.com,"1456 Cedar St, Imboden, AR 72500",No,OPERATIONS,Pwd37
31632,Jane,Mari,700000037,MariJan@marz.com,"1457 Cedar St, Imboden, AR 72561",No,OPERATIONS,Pwd38
46746,Kim,Mari,700000038,MariKim@marz.com,"1458 Cedar St, Imboden, AR 72425",No,OPERATIONS,Pwd39
10538,Cam,Lucas,700000039,LucasCam@marz.com,"1459 Cedar St, Imboden, AR 72400",No,OPERATIONS,Pwd40
99184,Jah,Eli,700000040,EliJa@marz.com,"1426 Eastland Ave, Hattiesburg, MS 39401",No,R&D,Pwd41
19629,Vinh,Kate,700000041,KateVinh2@marz.com,"1427 Eastland Ave, Hattiesburg, MS 39410",No,R&D,Pwd42
92323,King,Deb,700000042,DebKing8@marz.com,"1428 Eastland Ave, Hattiesburg, MS 39411",No,R&D,Pwd43
51872,Wel,Dani,700000043,DaniWel5@marz.com,"1429 Eastland Ave, Hattiesburg, MS 39500",No,R&D,Pwd44
77861,Vi,Michele,700000044,MicheleVi2@marz.com,"1430 Eastland Ave, Hattiesburg, MS 39451",No,R&D,Pwd45
82072,Stal,Gloria,700000045,GloriaStal3@marz.com,"1431 Eastland Ave, Hattiesburg, MS 39461",No,R&D,Pwd46
46737,Poss,Kim,700000046,KimPoss@marz.com,"1432 Eastland Ave, Hattiesburg, MS 39449",No,R&D,Pwd47
87457,Cameron,Jake,700000047,JakeCamer@marz.com,"1433 Eastland Ave, Hattiesburg, MS 39446",No,R&D,Pwd48
2185,Jones,Jess,700000048,JonesJess@marz.com,"1434 Eastland Ave, Hattiesburg, MS 39450",No,R&D,Pwd49
63754,Lee,Maria,700000049,MariaLee@marz.com,"1435 Eastland Ave, Hattiesburg, MS 39455",No,R&D,Pwd50
